datasetid,sitename,lon,lat,,,,,,,,,,,
886,GMM054,-123.5,64.4,,,,,,,,,,,
887,GMM055,-122.23333,62.33333,,,,,,,,,,,
888,GMM056,-120.43333,63.81667,,,,,,,,,,,
889,GMM058,-122.61667,63.88333,,,,,,,,,,,
890,GMM059,-122.96667,62.75,,,,,,,,,,,
891,GMM060,-122.96667,63.21667,,,,,,,,,,,
892,GMM061,-122.73333,63.61667,,,,,,,,,,,
893,GMM062,-120.1,62.9,,,,,,,,,,,
894,GMM063,-121.05,62.16667,,,,,,,,,,,
895,GMM064,-115.96667,62.83333,,,,,,,,,,,
896,GMM065,-114.35,62.43333,,,,,,,,,,,
897,GMM067,-120.05,61.2,,,,,,,,,,,
898,GMM068,-116.2,60.58333,,,,,,,,,,,
899,GMM074,-116.75,55.63333,,,,,,,,,,,
900,GMM075,-114.66667,55.25,,,,,,,,,,,
901,GMM076,-113.66667,55.08333,,,,,,,,,,,
902,GMM077,-112.75,54.5,,,,,,,,,,,
903,GMM078,-111.16667,54.33333,,,,,,,,,,,
904,GMM084,-114.83333,51.8,,,,,,,,,,,
905,GMM085,-114.66667,51.9,,,,,,,,,,,
906,GMM086,-115.16667,52.46667,,,,,,,,,,,
907,GMM087,-117.76667,53.26667,,,,,,,,,,,
908,GMM088,-117.13333,53.58333,,,,,,,,,,,
909,GMM089,-116.1,53.6,,,,,,,,,,,
910,GMM090,-116.83333,54.45,,,,,,,,,,,
911,GMM093,-117.5,55.08333,,,,,,,,,,,
912,GMM094,-115.66667,54.46667,,,,,,,,,,,
913,GMM095,-119.16667,55.25,,,,,,,,,,,
914,GMM096,-117.5,57.5,,,,,,,,,,,
915,GMM102,-113,52.58333,,,,,,,,,,,
916,GMM103,-111.58333,53.33333,,,,,,,,,,,
917,GMM104,-111.33333,53.93333,,,,,,,,,,,
